Indeks;pierwsza;druga;trzecia;czwarta;Liczba
52;0.89847725003920298;0.28772357555908867;0.33878629646605402;0.34597251378928495;1
53;0.87365179565897544;0.0040447015535125062;0.051827530400902738;0.048919758364050242;1
54;0.88506035977269704;-0.0011163600681678067;0.053220643048783836;0.053237472597550184;1
55;0.85956172344181558;0.26498311527602553;0.31746512812895294;0.32186138025669586;1
56;0.88551101768966267;0.28975434111022808;0.34221017466507453;0.34354344891734195;1
57;0.89370700793887448;-0.0021747516905848566;0.05085328652231743;0.052949500318659325;1
58;0.89298146739205864;0.0041438088962476713;0.054467899607356582;0.058980088626601;1
59;0.89817431816140869;0.26578158386749562;0.31870116498834811;0.31975394676117636;1
60;0.88595606575703945;0.28058971683201966;0.33473224516322686;0.33259489246990054;1
61;0.89841928159345219;-0.0053929354046833413;0.046483213692655512;0.048175518318605039;1
62;0.88154111413066727;0.0069506036405020738;0.059279280604669422;0.054437980409549738;1
63;0.89510760038620729;0.28369383360447958;0.33557746250127013;0.34214659636973499;1
64;0.89417262545474352;0.27266486931293232;0.32623519298608361;0.32403426199741775;1
65;0.889767023577686;-0.009035597737666403;0.043035026145416926;0.050598973340959273;1
66;0.90298569915872151;0.017983307831775208;0.067518279700728642;0.079424250477988997;1
67;0.90047248654294676;0.28989084745022181;0.3376381472502164;0.33755773940611056;1
68;0.89328439926985292;0.28821537237303863;0.34285343741792162;0.34871199033847394;1
69;0.89985353313831773;-0.0023935358245473918;0.049858473195239922;0.04372690759470016;1
70;0.88662550780796756;-0.003762339124210431;0.046556141737309695;0.03945220220804755;1
71;0.90088761541251672;0.27993336443013206;0.33128779751571413;0.33553819355414866;1
72;0.88740901680053419;0.27391586577123089;0.32311237671499443;0.31321473209051837;1
73;0.89757593420527182;0.017717774951239482;0.067277056168410981;0.075424427721186751;1
74;0.89483458770621993;-0.0025150825656376887;0.053416987784391239;0.05846024256470711;1
75;0.90221901971492113;0.28765438741416033;0.33824962085539378;0.33850206408688899;1
76;0.89547598050920407;0.27618037505523629;0.32664471200606476;0.32466069520149854;1
77;0.90177584159740731;0.0020270256514135724;0.059316679601927977;0.05473717238761816;1
78;0.90382717659703893;-0.010079029761180032;0.044817088364786976;0.050051078031121472;1
79;0.90610664547994779;0.25857853699549832;0.30999280847669403;0.31354758316611953;1
80;0.9082963567694361;0.27637110994125491;0.32790879811340384;0.33329986356822427;1
81;0.89928319843012472;-0.028834626886344358;0.022998513364147162;0.019608294262659334;1
82;0.90347375607294567;-0.009710649638183284;0.040342298342801113;0.033971379159806608;1
83;0.89726926242775173;0.27379805892986647;0.32418759788617785;0.32198666689751199;1
84;0.89228397609318655;0.25169899144978752;0.30306090433482125;0.30640624463959881;1
85;0.90711454845606576;-0.0043121043839111604;0.045194818237098366;0.036609878416397526;1
86;0.90656104329663922;3.926894712148064e-05;0.049721966855246207;0.044701151473285468;1
87;0.90479207072630963;0.25917879090149809;0.31312123459737201;0.30556102730155554;1
88;0.90522402914464595;0.27111842077629111;0.31742772913169437;0.3349585090966411;1
89;0.88721641196465262;-0.012642731023253839;0.041961674924096456;0.033051363827246209;1
90;0.89984044348927716;-0.017369964276734939;0.037170863375275823;0.032303383882075147;1
91;0.90061273278266629;0.25570442405617855;0.30889140800742965;0.31103998039993352;1
92;0.88987548066973576;0.26581150306530249;0.31552412017123405;0.3185253897012329;1
93;0.90658722259472013;-0.004003562656528098;0.049261959188966004;0.046455164444711601;1
94;0.90211430252259728;-0.0097143895379091395;0.049323667534442617;0.046565491486624332;1
95;0.8984305012926298;0.26631451957843;0.31616738292408114;0.31666665953748285;1
96;0.89403611911474978;0.26466896369905368;0.31295854895929731;0.3091382413893361;1
97;0.89894473750493487;-0.020315135310845986;0.03294851658478519;0.032845669342324163;1
98;0.90228633790998658;0.0056528584356302846;0.055947029948932352;0.047148915843857761;1
99;0.89750674606034353;0.26674086814717751;0.3168330850752834;0.32148739028411033;1
100;0.89669144792010702;0.27182152192475195;0.32109470081289548;0.31494256576386354;1
101;0.89441384898706122;-0.0059034317172625903;0.054211716476135492;0.049215210442392812;1
102;0.88575972102143197;-0.010271634597061579;0.041724191291504648;0.04686655341455568;1
103;0.90095680355744501;0.27454977877476339;0.3310708833316145;0.33235366893758289;1
104;0.90456767674275829;0.28256251393740833;0.33541851676292128;0.33099234543737155;1
105;0.90591591059392917;0.02258712439430308;0.070749553063867626;0.072924304754452482;1
106;0.90231812705765635;0.016984754604971841;0.059522374086850016;0.06740421275909006;1
107;0.89898213650219339;0.27803910521898639;0.3324583861299068;0.33864605022633443;1
108;0.89361538039559107;0.31457979549045556;0.3692795688808152;0.36419143530378906;1
109;0.89861375637919672;0.028963653426886365;0.084785396735002558;0.08768568897240335;1
110;0.89252145972577834;0.029332033549883112;0.081408267282555222;0.075964843231572834;1
111;0.89357798139833255;0.31530907593699736;0.36583699118316537;0.36341166621094823;1
